[13/Mar/2026 18:05:27] "GET / HTTP/1.1" 200 25851
/home/jules/.pyenv/versions/3.12.13/lib/python3.12/site-packages/django/core/handlers/base.py:62: UserWarning: No directory at: /app/staticfiles/
  mw_instance = middleware(adapted_handler)
Error: That port is already in use.
[13/Mar/2026 18:05:29] "POST /canteen/auth/login/ HTTP/1.1" 200 188
[13/Mar/2026 18:05:31] "GET /canteen/hr/ HTTP/1.1" 200 67830
[13/Mar/2026 18:05:31] "GET /static_v2/js/browser-image-compression.js HTTP/1.1" 404 179
[13/Mar/2026 18:05:31] "GET /static_v2/js/pwa_install.js?v=1.0 HTTP/1.1" 404 179
[13/Mar/2026 18:05:31] "GET /static_v2/js/camera_helper.js HTTP/1.1" 404 179
[13/Mar/2026 18:05:31] "GET /static_v2/js/html5-qrcode.min.js HTTP/1.1" 404 179
[13/Mar/2026 18:05:31] "GET /static_v2/js/offline_manager.js?v=2.0 HTTP/1.1" 404 179
[13/Mar/2026 18:05:31] "GET /static_v2/js/auth_manager.js?v=1.1 HTTP/1.1" 404 179
[13/Mar/2026 18:05:31] "GET /canteen/api/pending_updates/count/ HTTP/1.1" 200 11
[13/Mar/2026 18:05:31] "GET /canteen/api/system_messages/ HTTP/1.1" 200 52
[13/Mar/2026 18:05:31] "GET /service-worker.js HTTP/1.1" 200 5680
[13/Mar/2026 18:05:31] "GET /canteen/ HTTP/1.1" 302 0
[13/Mar/2026 18:05:31] "GET /canteen/ui/ HTTP/1.1" 200 60999
[13/Mar/2026 18:05:31] "GET /canteen/dashboard/ HTTP/1.1" 200 40489
[13/Mar/2026 18:05:31] "GET /canteen/management/ HTTP/1.1" 200 84534
[13/Mar/2026 18:05:31] "GET /static_v2/manifest.json HTTP/1.1" 404 179
[13/Mar/2026 18:05:31] "GET /canteen/pending_updates/ HTTP/1.1" 200 42634
[13/Mar/2026 18:05:31] "GET /canteen/settings/ HTTP/1.1" 200 97194
[13/Mar/2026 18:05:31] "GET /static_v2/images/logo.png HTTP/1.1" 404 179
[13/Mar/2026 18:05:31] "GET /static_v2/js/auth_manager.js HTTP/1.1" 404 179
[13/Mar/2026 18:05:32] "GET /static_v2/js/offline_manager.js HTTP/1.1" 404 179
[13/Mar/2026 18:05:32] "GET /static_v2/js/dexie.min.js HTTP/1.1" 404 179
[13/Mar/2026 18:05:32] "GET /static_v2/js/xlsx.full.min.js HTTP/1.1" 404 179
[13/Mar/2026 18:05:32] "GET /static_v2/js/browser-image-compression.js HTTP/1.1" 404 179
[13/Mar/2026 18:05:32] "GET /static_v2/js/html5-qrcode.min.js HTTP/1.1" 404 179
[13/Mar/2026 18:05:36] "GET /canteen/analytics/ HTTP/1.1" 200 87183
[13/Mar/2026 18:05:36] "GET /static_v2/js/html5-qrcode.min.js HTTP/1.1" 404 179
[13/Mar/2026 18:05:36] "GET /static_v2/js/pwa_install.js?v=1.0 HTTP/1.1" 404 179
[13/Mar/2026 18:05:36] "GET /static_v2/js/offline_manager.js?v=2.0 HTTP/1.1" 404 179
[13/Mar/2026 18:05:36] "GET /static_v2/js/auth_manager.js?v=1.1 HTTP/1.1" 404 179
[13/Mar/2026 18:05:36] "GET /static_v2/js/browser-image-compression.js HTTP/1.1" 404 179
[13/Mar/2026 18:05:36] "GET /static_v2/js/dexie.min.js HTTP/1.1" 404 179
[13/Mar/2026 18:05:36] "GET /static_v2/js/camera_helper.js HTTP/1.1" 404 179
[13/Mar/2026 18:05:38] "GET /service-worker.js HTTP/1.1" 200 5680
[13/Mar/2026 18:09:37] "GET / HTTP/1.1" 200 25851
[13/Mar/2026 18:09:40] "POST /canteen/auth/login/ HTTP/1.1" 200 188
[13/Mar/2026 18:09:42] "GET /canteen/hr/ HTTP/1.1" 200 67830
[13/Mar/2026 18:09:42] "GET /static_v2/js/html5-qrcode.min.js HTTP/1.1" 404 179
[13/Mar/2026 18:09:42] "GET /static_v2/js/browser-image-compression.js HTTP/1.1" 404 179
[13/Mar/2026 18:09:42] "GET /static_v2/js/auth_manager.js?v=1.1 HTTP/1.1" 404 179
[13/Mar/2026 18:09:42] "GET /static_v2/js/offline_manager.js?v=2.0 HTTP/1.1" 404 179
[13/Mar/2026 18:09:42] "GET /static_v2/js/camera_helper.js HTTP/1.1" 404 179
[13/Mar/2026 18:09:42] "GET /static_v2/js/pwa_install.js?v=1.0 HTTP/1.1" 404 179
[13/Mar/2026 18:09:42] "GET /canteen/api/pending_updates/count/ HTTP/1.1" 200 11
[13/Mar/2026 18:09:42] "GET /canteen/api/system_messages/ HTTP/1.1" 200 52
[13/Mar/2026 18:09:42] "GET /service-worker.js HTTP/1.1" 200 5680
[13/Mar/2026 18:09:42] "GET /canteen/ HTTP/1.1" 302 0
