/home/jules/.pyenv/versions/3.12.12/lib/python3.12/site-packages/django/core/handlers/base.py:62: UserWarning: No directory at: /app/staticfiles/
  mw_instance = middleware(adapted_handler)
Error: That port is already in use.
[22/Feb/2026 20:53:30] "GET /canteen/ HTTP/1.1" 200 25768
[22/Feb/2026 20:53:32] "POST /canteen/auth/login/ HTTP/1.1" 200 188
[22/Feb/2026 20:53:35] "GET /canteen/dashboard/ HTTP/1.1" 200 29157
[22/Feb/2026 20:53:35] "GET /static_v2/js/camera_helper.js HTTP/1.1" 404 179
[22/Feb/2026 20:53:35] "GET /static_v2/js/auth_manager.js?v=1.1 HTTP/1.1" 404 179
[22/Feb/2026 20:53:35] "GET /static_v2/js/browser-image-compression.js HTTP/1.1" 404 179
[22/Feb/2026 20:53:35] "GET /static_v2/js/html5-qrcode.min.js HTTP/1.1" 404 179
[22/Feb/2026 20:53:35] "GET /static_v2/js/offline_manager.js?v=2.0 HTTP/1.1" 404 179
[22/Feb/2026 20:53:35] "GET /static_v2/js/dexie.min.js HTTP/1.1" 404 179
[22/Feb/2026 20:53:35] "GET /canteen/management/ HTTP/1.1" 200 65850
[22/Feb/2026 20:53:35] "GET /static_v2/js/html5-qrcode.min.js HTTP/1.1" 404 179
[22/Feb/2026 20:53:35] "GET /static_v2/js/browser-image-compression.js HTTP/1.1" 404 179
[22/Feb/2026 20:53:35] "GET /static_v2/js/auth_manager.js?v=1.1 HTTP/1.1" 404 179
[22/Feb/2026 20:53:35] "GET /static_v2/js/xlsx.full.min.js HTTP/1.1" 404 179
[22/Feb/2026 20:53:35] "GET /static_v2/js/offline_manager.js?v=2.0 HTTP/1.1" 404 179
[22/Feb/2026 20:53:35] "GET /static_v2/js/dexie.min.js HTTP/1.1" 404 179
[22/Feb/2026 20:53:35] "GET /static_v2/js/camera_helper.js HTTP/1.1" 404 179
[22/Feb/2026 20:53:35] "GET /canteen/api/students/?page=1 HTTP/1.1" 200 441
[22/Feb/2026 20:53:35] "GET /canteen/api/students/filters/ HTTP/1.1" 200 38
[22/Feb/2026 20:53:35] "GET /canteen/api/pending_updates/ HTTP/1.1" 200 52
[22/Feb/2026 20:53:35] "GET /canteen/api/students/?page=1&search=Verify HTTP/1.1" 200 441
